Game,Home Win Odds (1),Draw Odds (X),Away Win Odds (2),Home Win Probability (%),Draw Probability (%),Away Win Probability (%)
Arsenal vs Liverpool,1.4,4.0,8.5,66.02,23.11,10.87
Newcastle vs Arsenal,3.5,3.7,2.0,27.06,25.59,47.35
Bournemouth vs Man City,5.25,4.4,1.5405405405405406,17.85,21.3,60.84
Liverpool vs Brighton,1.4,5.25,6.75,67.84,18.09,14.07
Nottingham Forest vs West Ham,2.15,3.5,3.2,43.74,26.87,29.39
Ipswich Town vs Leicester,2.15,3.6,3.1,43.65,26.07,30.28
Southampton FC vs Everton FC,2.5,3.5,2.7,37.88,27.05,35.07
Wolves vs Crystal Palace,2.6,3.5,2.6,36.46,27.08,36.46
Tottenham vs Aston Villa,1.8695652173913042,4.1,3.5,50.25,22.91,26.84
Man United vs Chelsea,2.5,3.8,2.5,37.62,24.75,37.62
Fulham vs Brentford,2.05,3.6,3.4,46.03,26.21,27.75
Brighton vs Man City,4.6,4.2,1.6666666666666665,20.6,22.56,56.85
Liverpool vs Aston Villa,1.606060606060606,4.33,5.0,59.1,21.92,18.98
Tottenham vs Ipswich Town,1.3333333333333333,6.0,8.25,72.26,16.06,11.68
Man United vs Leicester,1.4,5.25,6.75,67.84,18.09,14.07
Nottingham Forest vs Newcastle,3.2,3.25,2.3,29.62,29.17,41.21
