Game,Home Win Odds (1),Draw Odds (X),Away Win Odds (2),Home Win Probability (%),Draw Probability (%),Away Win Probability (%)
Arsenal vs Liverpool,1.4,4.0,8.0,71.43,25.0,12.5
Newcastle vs Arsenal,3.5,3.7,2.0,28.57,27.03,50.0
Bournemouth vs Man City,5.25,4.4,1.5405405405405406,19.05,22.73,64.91
Liverpool vs Brighton,1.4,5.25,6.75,71.43,19.05,14.81
Nottingham Forest vs West Ham,2.15,3.5,3.2,46.51,28.57,31.25
Ipswich Town vs Leicester,2.15,3.6,3.1,46.51,27.78,32.26
Southampton FC vs Everton FC,2.5,3.5,2.7,40.0,28.57,37.04
Wolves vs Crystal Palace,2.6,3.5,2.6,38.46,28.57,38.46
Tottenham vs Aston Villa,1.8695652173913042,4.1,3.5,53.49,24.39,28.57
Man United vs Chelsea,2.5,3.8,2.5,40.0,26.32,40.0
Fulham vs Brentford,2.05,3.6,3.4,48.78,27.78,29.41
Brighton vs Man City,4.6,4.2,1.6666666666666665,21.74,23.81,60.0
Liverpool vs Aston Villa,1.606060606060606,4.33,5.0,62.26,23.09,20.0
Tottenham vs Ipswich Town,1.3333333333333333,6.0,8.25,75.0,16.67,12.12
Man United vs Leicester,1.4,5.25,6.75,71.43,19.05,14.81
Nottingham Forest vs Newcastle,3.2,3.25,2.3,31.25,30.77,43.48
