Game,Home Win Odds (1),Draw Odds (X),Away Win Odds (2),Home Win Probability (%),Draw Probability (%),Away Win Probability (%)
Arsenal vs Liverpool,1.3571428571428572,4.1,11.0,68.76,22.76,8.48
"Newcastle
vs
Arsenal",3.9,3.7,1.9090909090909092,24.41,25.73,49.86
"Liverpool
vs
Brighton",1.3773584905660377,5.5,6.5,68.38,17.13,14.49
"Bournemouth
vs
Man City",5.25,4.3,1.5714285714285714,17.98,21.95,60.07
"Southampton
vs
Everton",2.45,3.5,2.75,38.6,27.02,34.39
"Nottingham Forest
vs
West Ham",2.15,3.5,3.25,43.94,26.99,29.07
"Ipswich
vs
Leicester",2.1,3.65,3.3,45.21,26.01,28.77
"Wolves
vs
Crystal Palace",2.75,3.45,2.45,34.25,27.3,38.45
"Tottenham
vs
Aston Villa",1.9090909090909092,4.2,3.45,49.8,22.64,27.56
"Man Utd
vs
Chelsea",2.5,3.85,2.5,37.75,24.51,37.75
"Fulham
vs
Brentford",2.0,3.6,3.5,47.01,26.12,26.87
