Match,Bookmaker,Outcome,Probability (%),Odds (Decimal),Expected Value
Southampton vs Liverpool,draftkings,Away,44.18,4.1,1.25
Arsenal vs Nottingham Forest,draftkings,Home,44.87,3.95,1.22
Southampton vs Liverpool,draftkings,Draw,34.5,5.25,1.16
Arsenal vs Nottingham Forest,draftkings,Draw,35.44,5.0,1.13
Southampton vs Liverpool,draftkings,Home,21.31,8.5,1.02
Arsenal vs Nottingham Forest,draftkings,Away,19.69,9.0,0.97
Manchester City vs Tottenham Hotspur,draftkings,Home,45.92,2.95,0.81
Newcastle United vs West Ham United,draftkings,Home,45.06,3.0,0.8
Leicester City vs Chelsea,draftkings,Away,45.85,2.85,0.77
Aston Villa vs Crystal Palace,draftkings,Home,45.68,2.7,0.69
Aston Villa vs Crystal Palace,draftkings,Home,45.68,2.7,0.69
Southampton vs Liverpool,pinnacle,Away,72.12,1.33,0.68
Arsenal vs Nottingham Forest,pinnacle,Home,71.25,1.35,0.67
Ipswich Town vs Manchester United,draftkings,Away,46.91,2.55,0.67
Newcastle United vs West Ham United,draftkings,Draw,31.44,4.3,0.67
Manchester City vs Tottenham Hotspur,draftkings,Draw,29.45,4.6,0.65
Fulham vs Wolverhampton Wanderers,draftkings,Home,46.49,2.5,0.63
Leicester City vs Chelsea,draftkings,Draw,30.39,4.3,0.61
Manchester City vs Tottenham Hotspur,draftkings,Away,24.63,5.5,0.6
Leicester City vs Chelsea,pinnacle,Away,62.16,1.55,0.59
Newcastle United vs West Ham United,draftkings,Away,23.51,5.75,0.59
Newcastle United vs West Ham United,pinnacle,Home,63.01,1.52,0.59
Manchester City vs Tottenham Hotspur,pinnacle,Home,62.17,1.54,0.58
Aston Villa vs Crystal Palace,pinnacle,Home,59.65,1.62,0.56
Aston Villa vs Crystal Palace,pinnacle,Home,59.65,1.62,0.56
Ipswich Town vs Manchester United,pinnacle,Away,58.85,1.63,0.55
Fulham vs Wolverhampton Wanderers,pinnacle,Home,57.12,1.69,0.54
Leicester City vs Chelsea,draftkings,Home,23.76,5.5,0.54
Aston Villa vs Crystal Palace,draftkings,Draw,30.83,4.0,0.54
Aston Villa vs Crystal Palace,draftkings,Draw,30.83,4.0,0.54
