Match,Home Bookmaker,Home Odds,Draw Bookmaker,Draw Odds,Away Bookmaker,Away Odds,Arbitrage Percentage
Arsenal vs Nottingham Forest,draftkings,4.0,draftkings,5.0,draftkings,8.0,57.5
Arsenal vs Nottingham Forest,draftkings,4.0,draftkings,5.0,pinnacle,8.99,56.12
Arsenal vs Nottingham Forest,draftkings,4.0,pinnacle,5.3,draftkings,8.0,56.37
Arsenal vs Nottingham Forest,draftkings,4.0,pinnacle,5.3,pinnacle,8.99,54.99
Aston Villa vs Crystal Palace,draftkings,2.55,draftkings,3.9,draftkings,4.8,85.69
Aston Villa vs Crystal Palace,draftkings,2.55,draftkings,3.9,pinnacle,4.93,85.14
Aston Villa vs Crystal Palace,draftkings,2.55,pinnacle,4.04,draftkings,4.8,84.8
Aston Villa vs Crystal Palace,draftkings,2.55,pinnacle,4.04,pinnacle,4.93,84.25
Fulham vs Wolverhampton Wanderers,draftkings,2.45,draftkings,3.95,draftkings,4.4,88.86
Fulham vs Wolverhampton Wanderers,draftkings,2.45,draftkings,3.95,pinnacle,4.65,87.64
Fulham vs Wolverhampton Wanderers,draftkings,2.45,pinnacle,4.0,draftkings,4.4,88.54
Fulham vs Wolverhampton Wanderers,draftkings,2.45,pinnacle,4.0,pinnacle,4.65,87.32
Ipswich Town vs Manchester United,draftkings,4.6,draftkings,4.0,draftkings,2.55,85.95
Ipswich Town vs Manchester United,draftkings,4.6,pinnacle,4.23,draftkings,2.55,84.6
Ipswich Town vs Manchester United,pinnacle,4.77,draftkings,4.0,draftkings,2.55,85.18
Ipswich Town vs Manchester United,pinnacle,4.77,pinnacle,4.23,draftkings,2.55,83.82
Leicester City vs Chelsea,draftkings,4.7,draftkings,4.1,draftkings,2.6,84.13
Leicester City vs Chelsea,draftkings,4.7,pinnacle,4.21,draftkings,2.6,83.49
Leicester City vs Chelsea,pinnacle,4.9,draftkings,4.1,draftkings,2.6,83.26
Leicester City vs Chelsea,pinnacle,4.9,pinnacle,4.21,draftkings,2.6,82.62
Manchester City vs Tottenham Hotspur,draftkings,3.0,draftkings,4.7,draftkings,5.25,73.66
Manchester City vs Tottenham Hotspur,draftkings,3.0,draftkings,4.7,pinnacle,5.56,72.6
Manchester City vs Tottenham Hotspur,draftkings,3.0,pinnacle,4.84,draftkings,5.25,73.04
Manchester City vs Tottenham Hotspur,draftkings,3.0,pinnacle,4.84,pinnacle,5.56,71.98
Newcastle United vs West Ham United,draftkings,2.95,draftkings,4.3,draftkings,5.75,74.55
Newcastle United vs West Ham United,draftkings,2.95,draftkings,4.3,pinnacle,5.92,74.05
Newcastle United vs West Ham United,draftkings,2.95,pinnacle,4.52,draftkings,5.75,73.41
Newcastle United vs West Ham United,draftkings,2.95,pinnacle,4.52,pinnacle,5.92,72.91
Southampton vs Liverpool,draftkings,8.0,draftkings,5.25,draftkings,4.2,55.36
Southampton vs Liverpool,draftkings,8.0,pinnacle,5.42,draftkings,4.2,54.76
Southampton vs Liverpool,pinnacle,8.69,draftkings,5.25,draftkings,4.2,54.36
Southampton vs Liverpool,pinnacle,8.69,pinnacle,5.42,draftkings,4.2,53.77
